TERYT4;GENDER;AGE_GROUP;predicted_BRCA_cases
2206;K;<0-44>;4.03148085427952
2811;K;<0-44>;0
3210;K;<0-44>;3.62438104789052
225;K;<0-44>;5.7078720358525
1428;K;<0-44>;5.21003401519446
2063;K;<0-44>;6.25313376675713
419;K;<0-44>;5.35463846716845
2467;K;<0-44>;5.68608416262959
3063;K;<0-44>;4.11981582279637
2806;K;<0-44>;3.67826711612619
1002;K;<0-44>;5.47374073477381
1004;K;<0-44>;3.25714761547014
2476;K;<0-44>;3.04750278205775
2401;K;<0-44>;8.40922809547942
803;K;<0-44>;3.35581742816231
3215;K;<0-44>;4.82083450975551
2409;K;<0-44>;4.43260294219113
2416;K;<0-44>;6.86563106774034
2461;K;<0-44>;11.7440924011468
1862;K;<0-44>;3.82552350570378
2463;K;<0-44>;6.39958448164434
1019;K;<0-44>;3.71441984863958
663;K;<0-44>;19.9814029321661
2471;K;<0-44>;3.19048120748402
463;K;<0-44>;13.1305182904892
3261;K;<0-44>;7.72646573738117
2610;K;<0-44>;4.65737810406797
1062;K;<0-44>;4.25469806139471
401;K;<0-44>;3.63119753129973
262;K;<0-44>;5.78970692039394
1263;K;<0-44>;7.12764362129763
2469;K;<0-44>;17.6526853328129
2466;K;<0-44>;11.0852384944224
1261;K;<0-44>;52.0190914979927
2473;K;<0-44>;10.3528241054002
2262;K;<0-44>;16.4043010858808
461;K;<0-44>;21.9061904078049
2862;K;<0-44>;12.3898145556513
261;K;<0-44>;3.90312947470184
3262;K;<0-44>;26.1177930888065
2261;K;<0-44>;28.7520279654775
207;K;<0-44>;3.16721493184985
464;K;<0-44>;7.68962233908591
1465;K;<0-44>;106.205707412202
1462;K;<0-44>;9.56757329136817
221;K;<0-44>;10.477363325454
3263;K;<0-44>;2.17076567484724
2464;K;<0-44>;15.7569517776456
1061;K;<0-44>;41.396295886694
2475;K;<0-44>;13.1566847942815
2264;K;<0-44>;0
1806;K;<45-54>;4.28322664635865
2012;K;<45-54>;3.21525167046394
1415;K;<45-54>;6.55487376503433
1207;K;<45-54>;9.27359240651299
2007;K;<45-54>;4.477633698793
1815;K;<45-54>;6.61115010218075
412;K;<45-54>;2.93956246798739
1816;K;<45-54>;13.3580985015685
1210;K;<45-54>;15.4039976073684
2006;K;<45-54>;3.17513931549666
1819;K;<45-54>;4.64641301189095
1204;K;<45-54>;3.88026330949789
618;K;<45-54>;6.56081816499609
1216;K;<45-54>;16.970781382159
1812;K;<45-54>;5.82515148298141
1813;K;<45-54>;4.58937651780627
1409;K;<45-54>;2.56952248882617
1211;K;<45-54>;16.1807891470721
2608;K;<45-54>;3.85609041581993
1202;K;<45-54>;7.57246299038883
217;K;<45-54>;4.50221381027866
1214;K;<45-54>;3.94062942698819
1425;K;<45-54>;11.389202589065
2013;K;<45-54>;4.59546126603679
2417;K;<45-54>;12.6499313476433
1401;K;<45-54>;2.47105646279831
608;K;<45-54>;6.8709072733808
1426;K;<45-54>;6.19338586345152
609;K;<45-54>;15.5827121464046
1803;K;<45-54>;10.2677177614308
