"","TERYT_CODE","gender","age","predicted_BRCA_cases"
"209",2261,"M","<75-84>",3.17976730987514
"210",2261,"M","85+",0.835803602658272
"211",2261,"K","<0-44>",31.2589130737041
"212",2261,"K","<45-54>",52.0365970139446
"213",2261,"K","<55-64>",105.75
"214",2261,"K","<65-74>",62
"215",2261,"K","<75-84>",35.8124275774826
"216",2261,"K","85+",9.61875560873468
"217",2262,"M","<0-44>",0.203386558315809
"218",2262,"M","<45-54>",0.355655154858678
"219",2262,"M","<55-64>",2.24441596845737
"220",2262,"M","<65-74>",4.13044303557193
"221",2262,"M","<75-84>",1.87189144567124
"222",2262,"M","85+",0.435926023084995
"223",2262,"K","<0-44>",16.4328239721204
"224",2262,"K","<45-54>",29.4604612850082
"225",2262,"K","<55-64>",57.25
"226",2262,"K","<65-74>",36.5486170638322
"227",2262,"K","<75-84>",20.2250423782416
"228",2262,"K","85+",4.7698840030578
"229",2263,"M","<0-44>",0.0781504318589538
"230",2263,"M","<45-54>",0.147828838280389
"231",2263,"M","<55-64>",0.706491677980591
"232",2263,"M","<65-74>",1.30097481722177
"233",2263,"M","<75-84>",0.559307604994325
"234",2263,"M","85+",0.136761105281567
"235",2263,"K","<0-44>",6.30826295417543
"236",2263,"K","<45-54>",12.7103662400203
"237",2263,"K","<55-64>",20.4684847597943
"238",2263,"K","<65-74>",12.7523841329919
"239",2263,"K","<75-84>",6.89364199873498
"240",2263,"K","85+",1.70709941170605
"241",2264,"M","<0-44>",0.0457008279030789
"242",2264,"M","<45-54>",0.053288799122638
"243",2264,"M","<55-64>",0.329410446088321
"244",2264,"M","<65-74>",0.713015532940548
"245",2264,"M","<75-84>",0.343368417431982
"246",2264,"M","85+",0.135274571528506
"247",2264,"K","<0-44>",2.40153934887869
"248",2264,"K","<45-54>",4.51413236833336
"249",2264,"K","<55-64>",9.30016703569903
"250",2264,"K","<65-74>",6.82425235283014
"251",2264,"K","<75-84>",4.01134977862112
"252",2264,"K","85+",1.55396018213847
"253",2201,"M","<0-44>",0.0376612651520921
"254",2201,"M","<45-54>",0.131242241955505
"255",2201,"M","<55-64>",0.106668073433214
"256",2201,"M","<65-74>",0.321441011096183
"257",2201,"M","<75-84>",0.33112767860214
"258",2201,"M","85+",0.0628060510668065
"259",2201,"K","<0-44>",4.66837524041514
"260",2201,"K","<45-54>",9.20150156789744
"261",2201,"K","<55-64>",11.3191770654544
"262",2201,"K","<65-74>",6.23000045222267
"263",2201,"K","<75-84>",3.97087413029728
"264",2201,"K","85+",0.866373347999267
"265",2202,"M","<0-44>",0
"266",2202,"M","<45-54>",0.151914446672396
"267",2202,"M","<55-64>",0.58281661239238
"268",2202,"M","<65-74>",0.392420726991493
"269",2202,"M","<75-84>",0.4648342104358
"270",2202,"M","85+",0.101827562084645
"271",2202,"K","<0-44>",5.02978004971158
"272",2202,"K","<45-54>",10.975876489146
"273",2202,"K","<55-64>",15.3250811187084
"274",2202,"K","<65-74>",8.43079511989903
"275",2202,"K","<75-84>",5.28952814674257
"276",2202,"K","85+",1.27951935736547
"277",2203,"M","<0-44>",0.0287842799938746
"278",2203,"M","<45-54>",0.100830707533658
"279",2203,"M","<55-64>",0.108934582471509
"280",2203,"M","<65-74>",0.25449021113761
"281",2203,"M","<75-84>",0.242931586007636
"282",2203,"M","85+",0.0550017488632389
"283",2203,"K","<0-44>",3.02077300563735
"284",2203,"K","<45-54>",7.14834639716423
"285",2203,"K","<55-64>",8.78523742152268
"286",2203,"K","<65-74>",4.82324195470798
"287",2203,"K","<75-84>",3.22527008222644
"288",2203,"K","85+",0.766170024832092
"289",2204,"M","<0-44>",0
"290",2204,"M","<45-54>",0.154946051752124
"291",2204,"M","<55-64>",0.0902866727660871
"292",2204,"M","<65-74>",0.375105835612869
"293",2204,"M","<75-84>",0.381032229216111
"294",2204,"M","85+",0.0761848548443511
"295",2204,"K","<0-44>",5.99471932397384
"296",2204,"K","<45-54>",11.2721900876549
"297",2204,"K","<55-64>",12.5910408551499
"298",2204,"K","<65-74>",7.59378585086042
"299",2204,"K","<75-84>",4.20094623655914
"300",2204,"K","85+",1.00049164208456
"301",2205,"M","<0-44>",0
"302",2205,"M","<45-54>",0.190418218275566
"303",2205,"M","<55-64>",0.0989478499542542
"304",2205,"M","<65-74>",0.450436368373062
"305",2205,"M","<75-84>",0.519132872424587
"306",2205,"M","85+",0.101084295208115
"307",2205,"K","<0-44>",7.23362321006567
"308",2205,"K","<45-54>",13.3446319423147
"309",2205,"K","<55-64>",12.6390524504031
"310",2205,"K","<65-74>",8.69145952836201
"311",2205,"K","<75-84>",5.43438836179633
"312",2205,"K","85+",1.28568571571422
"313",2206,"M","<0-44>",0.0347506895629955
"314",2206,"M","<45-54>",0.114198414971832
"315",2206,"M","<55-64>",0.102356299593575
"316",2206,"M","<65-74>",0.294206721375537
"317",2206,"M","<75-84>",0.343054552333781
"318",2206,"M","85+",0.0676372857642532
