"TERYT4" "wynik" "Plec" "Age_Group"
1434 2.71692521638558 "K" "85+"
1434 10.0913457146052 "K" "<75-84>"
1434 9.87786056841466 "K" "<0-44>"
1434 21.3172974204849 "K" "<65-74>"
1434 18.7480675043415 "K" "<45-54>"
1434 31.6507093348221 "K" "<55-64>"
1435 3.77701792727051 "K" "<75-84>"
1435 3.8034278406861 "K" "<0-44>"
1435 4.78453898064739 "K" "<65-74>"
1435 6.49471092568679 "K" "<45-54>"
1435 8.54837631689537 "K" "<55-64>"
1437 0.660335455042475 "K" "85+"
1437 2.17192838629421 "K" "<0-44>"
1437 3.71058945828604 "K" "<65-74>"
1437 6.22695340997355 "K" "<55-64>"
1437 4.22304929578045 "K" "<45-54>"
601 1.94617854576864 "K" "85+"
601 1.78659787471043 "M" "<65-74>"
601 6.88456346026435 "K" "<0-44>"
601 9.73152714446178 "K" "<75-84>"
601 10.7048199794042 "K" "<65-74>"
601 14.8740696393501 "K" "<55-64>"
601 10.4539702696115 "K" "<45-54>"
602 2.24677372438675 "K" "85+"
602 1.13683047487516 "M" "<55-64>"
602 5.29858684992999 "K" "<0-44>"
602 7.30969226597975 "K" "<75-84>"
602 9.9140500082404 "K" "<65-74>"
602 11.0779886618091 "K" "<45-54>"
602 17.5742331799466 "K" "<55-64>"
603 2.47455048117641 "K" "85+"
603 3.88485287750795 "K" "<0-44>"
603 3.86856184462642 "K" "<75-84>"
603 6.77767002352367 "K" "<45-54>"
603 7.47487966318734 "K" "<65-74>"
603 9.76903210238822 "K" "<55-64>"
604 2.75889347289205 "K" "<0-44>"
604 5.27563122886428 "K" "<75-84>"
604 6.20151979097366 "K" "<45-54>"
604 7.92879109781122 "K" "<65-74>"
604 10.5093306296541 "K" "<55-64>"
605 2.57988979221393 "K" "<75-84>"
605 5.81010907922739 "K" "<55-64>"
605 2.27716137976081 "K" "<0-44>"
605 3.88425184158363 "K" "<45-54>"
605 5.37038091598127 "K" "<65-74>"
606 2.83809566156558 "K" "<0-44>"
606 6.11801827141592 "K" "<75-84>"
606 6.26141027892491 "K" "<45-54>"
606 6.41182758781148 "K" "<65-74>"
606 10.4963133854706 "K" "<55-64>"
607 1.54914091576557 "M" "<75-84>"
607 1.06910435995154 "M" "<55-64>"
607 2.28145350418232 "K" "85+"
607 5.36889221552354 "K" "<0-44>"
607 5.47789282752565 "K" "<75-84>"
607 17.5028517966191 "K" "<55-64>"
607 10.167752428282 "K" "<45-54>"
607 9.59759200977741 "K" "<65-74>"
608 4.17918434289856 "K" "<0-44>"
608 7.00818832909489 "K" "<65-74>"
608 8.11312462042755 "K" "<45-54>"
608 6.44242972061763 "K" "<75-84>"
608 12.4893380728332 "K" "<55-64>"
609 2.85073885600638 "K" "85+"
609 2.15099587757876 "M" "<65-74>"
609 7.77787437850005 "K" "<0-44>"
609 11.9606260102029 "K" "<65-74>"
609 7.40859333314048 "K" "<75-84>"
609 21.8110615398824 "K" "<55-64>"
609 14.4600986396168 "K" "<45-54>"
610 0.877063214322777 "K" "85+"
610 3.72454137666668 "K" "<0-44>"
610 2.48341707671301 "K" "<75-84>"
