Kod;Nazwa;³ó¿ka w szpitalach ogólnych
2406000;Powiat k³obucki;120,00
2407000;Powiat lubliniecki;375,00
2408000;Powiat miko³owski;389,00
2409000;Powiat myszkowski;250,00
2410000;Powiat pszczyñski;501,00
2411000;Powiat raciborski;434,00
2413000;Powiat tarnogórski;1223,00
2414000;Powiat bieruñsko-lêdziñski;40,00
2415000;Powiat wodzis³awski;834,00
2416000;Powiat zawierciañski;434,00
2417000;Powiat ¿ywiecki;374,00
2461000;Powiat m.Bielsko-Bia³a;1209,00
2462000;Powiat m.Bytom;1538,00
2463000;Powiat m.Chorzów;864,00
2464000;Powiat m.Czêstochowa;1571,00
2465000;Powiat m.D¹browa Górnicza;495,00
2466000;Powiat m.Gliwice;1014,00
2467000;Powiat m.Jastrzêbie-Zdrój;636,00
2468000;Powiat m.Jaworzno;385,00
2469000;Powiat m.Katowice;3514,00
2470000;Powiat m.Mys³owice;272,00
2471000;Powiat m.Piekary Œl¹skie;405,00
2472000;Powiat m.Ruda Œl¹ska;459,00
2473000;Powiat m.Rybnik;759,00
2474000;Powiat m.Siemianowice Œl¹skie;300,00
2475000;Powiat m.Sosnowiec;1583,00
2476000;Powiat m.Œwiêtoch³owice;273,00
2477000;Powiat m.Tychy;884,00
2478000;Powiat m.Zabrze;1236,00
2479000;Powiat m.¯ory;189,00
2600000;ŒWIÊTOKRZYSKIE;6445,00
2601000;Powiat buski;570,00
2602000;Powiat jêdrzejowski;177,00
2603000;Powiat kazimierski;57,00
2604000;Powiat kielecki;458,00
2605000;Powiat konecki;534,00
2606000;Powiat opatowski;177,00
2607000;Powiat ostrowiecki;495,00
2608000;Powiat piñczowski;139,00
2609000;Powiat sandomierski;518,00
2610000;Powiat skar¿yski;397,00
2611000;Powiat starachowicki;478,00
2612000;Powiat staszowski;289,00
2613000;Powiat w³oszczowski;324,00
2661000;Powiat m.Kielce;1832,00
2800000;WARMIÑSKO-MAZURSKIE;5985,00
