Kod;Nazwa;udzia³ terenów zieleni w powierzchni ogó³em
2478000;Powiat m.Zabrze;3,44
2479000;Powiat m.¯ory;3,10
2600000;ŒWIÊTOKRZYSKIE;0,09
2601000;Powiat buski;0,10
2602000;Powiat jêdrzejowski;0,00
2603000;Powiat kazimierski;0,00
2604000;Powiat kielecki;0,00
2605000;Powiat konecki;0,08
2606000;Powiat opatowski;0,00
2607000;Powiat ostrowiecki;0,19
2608000;Powiat piñczowski;0,05
2609000;Powiat sandomierski;0,09
2610000;Powiat skar¿yski;0,12
2611000;Powiat starachowicki;0,19
2612000;Powiat staszowski;0,09
2613000;Powiat w³oszczowski;0,00
2661000;Powiat m.Kielce;2,91
2800000;WARMIÑSKO-MAZURSKIE;0,10
2801000;Powiat bartoszycki;0,09
2802000;Powiat braniewski;0,06
2803000;Powiat dzia³dowski;0,06
2804000;Powiat elbl¹ski;0,00
2805000;Powiat e³cki;0,07
2806000;Powiat gi¿ycki;0,13
2807000;Powiat i³awski;0,07
2808000;Powiat kêtrzyñski;0,08
2809000;Powiat lidzbarski;0,00
2810000;Powiat mr¹gowski;0,20
2811000;Powiat nidzicki;0,06
2812000;Powiat nowomiejski;0,00
2813000;Powiat olecki;0,06
2814000;Powiat olsztyñski;0,00
2815000;Powiat ostródzki;0,06
2816000;Powiat piski;0,05
2817000;Powiat szczycieñski;0,00
2818000;Powiat go³dapski;0,00
2819000;Powiat wêgorzewski;0,11
2861000;Powiat m.Elbl¹g;4,89
2862000;Powiat m.Olsztyn;6,92
3000000;WIELKOPOLSKIE;0,20
3001000;Powiat chodzieski;0,07
3002000;Powiat czarnkowsko-trzcianecki;0,00
3003000;Powiat gnieŸnieñski;0,19
3004000;Powiat gostyñski;0,14
3005000;Powiat grodziski;0,10
3006000;Powiat jarociñski;0,17
3007000;Powiat kaliski;0,07
3008000;Powiat kêpiñski;0,19
3009000;Powiat kolski;0,18
3010000;Powiat koniñski;0,05
3011000;Powiat koœciañski;0,16
3012000;Powiat krotoszyñski;0,19
3013000;Powiat leszczyñski;0,09
3014000;Powiat miêdzychodzki;0,06
3015000;Powiat nowotomyski;0,27
3016000;Powiat obornicki;0,06
3017000;Powiat ostrowski;0,19
3018000;Powiat ostrzeszowski;0,05
3019000;Powiat pilski;0,09
3020000;Powiat pleszewski;0,38
3021000;Powiat poznañski;0,21
3022000;Powiat rawicki;0,14
3023000;Powiat s³upecki;0,08
3024000;Powiat szamotulski;0,17
3025000;Powiat œredzki;0,22
3026000;Powiat œremski;0,48
3027000;Powiat turecki;0,22
3028000;Powiat w¹growiecki;0,05
3029000;Powiat wolsztyñski;0,19
3030000;Powiat wrzesiñski;0,37
3031000;Powiat z³otowski;0,10
3061000;Powiat m.Kalisz;2,07
3062000;Powiat m.Konin;1,86
3063000;Powiat m.Leszno;3,57
3064000;Powiat m.Poznañ;4,08
3200000;ZACHODNIOPOMORSKIE;0,13
3201000;Powiat bia³ogardzki;0,09
3202000;Powiat choszczeñski;0,10
3203000;Powiat drawski;0,00
3204000;Powiat goleniowski;0,08
3205000;Powiat gryficki;0,10
3206000;Powiat gryfiñski;0,09
3207000;Powiat kamieñski;0,09
3208000;Powiat ko³obrzeski;0,27
3209000;Powiat koszaliñski;0,00
3210000;Powiat myœliborski;0,14
3211000;Powiat policki;0,08
3212000;Powiat pyrzycki;0,12
3213000;Powiat s³awieñski;0,00
3214000;Powiat stargardzki;0,09
3215000;Powiat szczecinecki;0,23
3216000;Powiat œwidwiñski;0,08
3217000;Powiat wa³ecki;0,05
3218000;Powiat ³obeski;0,12
3261000;Powiat m.Koszalin;1,94
3262000;Powiat m.Szczecin;1,52
3263000;Powiat m.Œwinoujœcie;0,56
